"date","anz","cba","mqg","nab","wbc","banks","areit","asx","audusd","comm","dspread","tspread","bills","ivol","anzW","anzD","anzL","cbaW","cbaD","cbaL","mqgW","mqgD","mqgL","nabW","nabD","nabL","wbcW","wbcD","wbcL"
20000403,0.882088533,2.028639134,-0.825958186,3.133991382,1.145168885,1.892791628,1.413899101,1.831987908,0.263895914,-0.995528898,73,-6,5,24.11,15512773.19,162818000,11.4957378030227,20781409.922,199300000,10.59030213773,4408393.095,26731220,7.0637106138104,32654038.4,323784000,10.9155882661055,19126878.19,158556000,9.28969570595671
20000404,4.311387628,2.820405944,0.276815253,2.817091838,4.001559427,3.086650586,0.772176261,-0.441969685,-0.677632541,-0.92232239,0,-6,3,24.03,16193124.07,162818000,11.0547614713607,21375887.26,199300000,10.3235895930712,4420173.375,26731220,7.04755011447939,33580606.08,323784000,10.6419939303252,19904423.382,158556000,8.96586753391639
20000405,1.78447432,2.585636472,-0.563294313,3.43105863,3.154236144,2.685121323,0.862237533,-0.676100848,0.380700617,0.38148932,-8.88e-14,-4,0,27.12,16481345.4428,162818000,10.8789264847991,21936033.08,199300000,10.0855078159829,4394917.6875,26731220,7.08230276440189,34746288,323784000,10.3185205855659,20538929.6,158556000,8.71977912617218
20000406,-1.745577263,-0.82619715,1.531633049,0.018485117,-0.88066623,-0.617339982,-0.631749882,0.059730902,0.066061109,0.015208368,-1,-8.88e-14,-1,28.41,16193124.07,162818000,11.0547614713607,21755340.88,199300000,10.1609688443549,4462277.6025,26731220,6.99048790353692,34746288,323784000,10.3185205855659,20355546.3,158556000,8.78932668586743
20000407,0.019719268,-1.295968101,-0.214865244,-2.59544459,-1.80177148,-1.600288923,0.531707107,0.784197425,-0.978854767,0.269172118,8.88e-14,4,2,27.15,16193124.07,162818000,11.0547614713607,21475267.97,199300000,10.2804429857831,4452175.3275,26731220,7.00408070968989,33849609.6,323784000,10.5653688129981,19988779.7,158556000,8.93225011129619
20000410,0.928654156,-1.355729052,-0.864107658,2.292670946,-0.249602783,0.496368291,0.288900654,0.610770631,-0.350731048,-0.523297858,-8.88e-14,-11,-1,24.39,16340945.7612,162818000,10.9638051786816,21186160.45,199300000,10.407084425248,4413444.2325,26731220,7.05677076491756,34628225.344,323784000,10.3502914684047,19935598.543,158556000,8.95341056141371
20000411,-0.798273159,1.482183884,1.675103108,3.470694453,-1.195431728,1.131957707,0.161770266,-0.891782337,-0.452755028,-0.137833822,8.88e-14,-7,-1,25.99,16207813.464,162818000,11.0456486842993,21502371.8,199300000,10.2687449484061,4487533.29,26731220,6.95677363766142,35844719.04,323784000,10.0329624187787,19695366.42,158556000,9.05042143511438
20000412,2.985653557,1.971237728,0.273942991,1.634692345,1.49505742,1.682781527,-0.850388392,-0.766905605,0.251783599,1.580988345,-8.88e-14,11,-2,27.25,16695810.5952,162818000,10.7520272568742,21930612.314,199300000,10.0877535540935,4499313.57,26731220,6.9411773783084,36429054.464,323784000,9.88807038129333,19988779.7,158556000,8.93225011129619
20000413,1.426070936,2.827880211,-1.194741685,-2.373229636,0.016816243,0.023633564,-0.392980892,-1.568951138,0.351435388,0.526129314,2,4,-1,28.98,16932387.1512,162818000,10.6157735200651,22559421.17,199300000,9.83444652671468,4445429.0625,26731220,7.0131923430057,35568243.2,323784000,10.103176622454,19988779.7,158556000,8.93225011129619
20000414,1.294137664,2.490803424,-0.940445803,-0.897669755,0.016370993,0.496942253,-0.313621609,0.390217133,-0.150463959,-1.041497966,1,-5,-2,29.4,17007789.5488,162818000,10.5731429138884,23128601.6,199300000,9.6170363192213,4403341.9575,26731220,7.07066638430613,35243944.512,323784000,10.1869398979946,19988779.7,158556000,8.93225011129619
